Problem List

| Problem ID  | Problem Name                  | Link                                               |
|-------------|-------------------------------|----------------------------------------------------|
| 4A.c        | Watermelon                    | https://codeforces.com/contest/4/problem/A         |
| *9A         | DieRoll.java                  | https://codeforces.com/contest/9/problem/A         |
| 71A.cpp     | Way Too Long Words            | https://codeforces.com/problemset/problem/71/A     |
| 770A.cpp    | New Password                  | https://codeforces.com/problemset/problem/770/A    |
| 2112A.cpp   | Race                          | https://codeforces.com/problemset/problem/2112/A   |
| 2116A.cpp   | Gellyfish and Tricolor Pansy  | https://codeforces.com/problemset/problem/2116/A   |
| 2117A.cpp   | False Alarm                   | https://codeforces.com/problemset/problem/2117/A   |
| 2117B.cpp   | Shrink                        | https://codeforces.com/problemset/problem/2117/B   |
| 2118A.cpp   | Equal Subsequences            | https://codeforces.com/problemset/problem/2118/A.  |
| 2121B.cpp   | Above the Clouds              | https://codeforces.com/problemset/problem/2121/B   |
----------------------------------------------------------------------------------------------------
